Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
India,MtCO2e,566.53,573.91,580.41,587.12,595.12,599.54,607.06,612.43,619.68,623.28,617.94,623.04,607.05,618.71,628.33,647.72,662.47,679.66,687.34,681.39,691.44,701.81,695.63,698.17,699.71,700.01,703.63,709.50,718.70
China,MtCO2e,590.56,600.81,605.37,592.67,612.72,671.87,714.64,646.42,669.11,689.04,677.06,666.04,671.53,660.99,679.51,687.28,689.39,680.84,693.16,694.65,695.41,689.64,691.17,690.84,691.80,698.73,699.82,684.30,672.87
Brazil,MtCO2e,340.03,351.10,357.16,358.89,366.91,372.94,354.36,362.46,373.17,375.25,379.72,397.97,422.05,440.24,463.65,468.47,459.33,469.98,460.64,459.84,491.25,488.59,489.49,485.54,495.01,496.95,502.99,507.27,496.10
United States,MtCO2e,357.82,358.93,366.45,367.60,377.51,375.81,380.34,378.99,377.30,374.73,369.04,367.00,366.36,371.29,372.86,371.77,375.40,378.98,377.60,371.69,373.60,374.93,371.85,370.94,370.82,370.09,381.40,381.93,385.25
Indonesia,MtCO2e,132.57,131.91,139.25,136.74,137.76,143.95,146.98,142.44,145.45,143.74,143.06,141.71,145.20,144.10,148.61,148.58,151.04,154.78,158.80,166.49,169.21,172.70,178.07,173.88,180.06,183.36,190.77,196.08,200.24
Pakistan,MtCO2e,85.77,87.06,89.23,91.81,93.66,97.24,100.49,103.22,105.48,108.77,110.57,111.68,114.94,118.75,122.03,126.62,134.46,136.70,143.01,149.65,147.68,154.33,154.98,163.04,167.05,170.83,175.71,182.02,186.22
Australia,MtCO2e,178.01,176.30,172.85,170.38,171.86,169.11,156.99,155.51,162.50,194.07,211.05,229.61,215.12,136.07,180.34,137.24,174.91,165.00,132.24,139.31,115.74,220.11,219.01,138.08,160.05,151.67,120.10,163.31,159.54
Argentina,MtCO2e,118.73,117.50,119.14,117.25,118.83,118.16,115.74,115.28,112.17,114.51,116.86,116.02,119.62,129.69,130.83,130.32,133.64,136.63,133.99,123.50,116.64,116.87,118.87,121.78,122.91,122.33,126.56,130.29,129.94
Ethiopia,MtCO2e,56.57,56.71,58.07,51.45,51.96,52.14,54.81,56.48,61.86,61.18,57.60,60.23,69.04,66.41,67.92,71.18,75.38,84.22,87.53,91.45,95.83,93.92,98.07,100.60,104.19,106.58,109.99,112.29,112.45
Mexico,MtCO2e,88.78,87.06,86.40,87.89,87.74,86.00,84.93,85.51,87.43,85.31,86.19,86.67,85.34,86.20,85.50,87.50,86.63,88.01,87.59,89.02,89.81,91.43,91.09,94.00,89.88,90.87,95.59,96.82,96.83
Russia,MtCO2e,237.99,229.43,209.20,197.58,177.65,159.35,146.53,130.90,120.52,110.15,110.12,111.52,110.77,112.97,100.71,96.79,94.24,94.97,101.63,97.14,95.05,95.80,95.25,94.22,97.07,94.80,96.22,95.54,95.99
Bangladesh,MtCO2e,65.53,66.07,66.64,66.77,67.91,69.73,69.72,69.59,68.98,71.89,72.43,72.66,73.95,73.72,72.92,74.74,76.34,76.77,80.98,81.05,82.39,83.76,83.22,83.49,84.63,85.31,83.47,86.72,88.53
Myanmar,MtCO2e,45.35,44.80,47.14,49.24,50.87,52.60,52.26,51.02,51.85,55.67,56.84,57.34,57.72,59.45,62.05,64.52,68.31,70.31,71.07,72.42,73.77,72.21,72.69,74.12,76.07,77.37,78.90,79.57,78.38
Nigeria,MtCO2e,39.13,40.81,41.34,42.42,43.65,44.48,45.95,47.98,50.83,51.62,52.32,52.36,52.80,54.57,55.34,58.85,59.11,58.09,58.36,56.29,60.74,64.62,67.51,68.92,70.21,70.80,75.60,75.80,76.19
Sudan,MtCO2e,42.11,43.47,47.28,50.43,53.35,54.43,56.69,58.61,61.88,63.51,67.20,61.94,65.27,66.92,68.02,70.56,67.44,70.87,70.34,71.53,68.40,68.17,72.62,73.16,73.03,73.73,75.28,75.03,75.59
France,MtCO2e,86.73,85.76,81.79,81.23,81.74,82.28,83.47,82.58,82.33,82.42,83.65,83.67,81.39,79.70,79.42,77.85,77.50,79.24,78.23,76.21,76.28,74.20,74.61,75.65,75.79,76.53,74.78,74.98,73.83
Vietnam,MtCO2e,46.34,48.79,49.78,51.02,53.63,54.55,57.26,57.59,60.83,62.93,64.10,61.53,62.85,64.58,66.19,65.90,66.61,67.91,65.34,70.49,68.08,66.82,67.86,70.86,69.26,72.05,71.11,71.15,70.99
Chad,MtCO2e,13.81,20.19,21.01,21.82,22.75,23.73,26.64,27.19,27.95,29.89,32.63,29.23,31.56,33.51,35.03,37.19,38.33,40.58,42.01,43.05,45.82,48.40,51.05,53.21,55.66,60.64,65.06,67.32,70.07
Thailand,MtCO2e,63.55,65.87,67.44,68.35,68.42,66.36,65.60,66.36,63.36,64.89,63.15,64.46,63.67,67.64,67.03,67.83,68.21,72.83,72.36,76.02,79.82,78.59,78.23,76.14,70.27,64.69,61.01,70.69,68.82
Colombia,MtCO2e,58.14,57.68,58.21,59.15,60.09,60.04,60.26,59.59,60.19,57.75,58.60,59.84,60.11,61.62,62.35,62.92,63.02,65.59,64.82,64.70,66.09,62.16,58.93,56.82,56.74,56.01,56.69,60.37,63.02
Philippines,MtCO2e,43.70,43.87,42.25,43.66,47.01,48.48,51.22,51.46,45.04,52.77,53.39,53.96,53.85,54.66,56.37,55.37,55.49,57.01,57.80,58.75,58.04,58.40,59.10,59.84,60.18,59.13,59.04,62.16,61.37
Canada,MtCO2e,47.74,48.13,49.30,49.75,49.92,52.63,55.04,54.18,56.14,54.93,53.55,53.68,55.23,55.41,57.08,58.83,55.84,58.40,56.73,54.54,55.22,56.82,59.14,59.28,58.31,57.46,56.39,57.15,58.95
Germany,MtCO2e,86.38,81.36,73.96,71.64,72.02,71.91,71.45,71.60,70.57,70.77,68.64,68.16,66.96,65.68,64.72,64.27,61.99,63.17,62.94,62.92,63.36,62.02,62.30,63.12,64.52,63.33,62.29,60.96,58.30
Tanzania,MtCO2e,32.74,32.94,32.93,33.29,33.35,36.56,34.25,33.91,37.39,38.33,35.60,36.61,40.43,44.50,43.14,45.47,42.42,44.83,46.53,46.98,49.46,51.27,52.94,55.21,56.22,58.64,59.56,57.09,58.23
United Kingdom,MtCO2e,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70
Turkey,MtCO2e,44.12,41.91,43.13,43.85,40.89,40.39,40.49,40.36,40.74,40.38,39.78,36.78,36.28,36.24,36.00,36.66,37.63,37.14,35.62,37.62,36.38,37.12,40.63,44.70,45.20,46.03,48.18,47.77,49.59
South Sudan,MtCO2e,27.28,28.17,30.63,32.68,34.57,35.27,36.73,37.97,40.09,41.15,43.54,40.13,42.29,43.35,44.07,45.72,43.70,45.92,45.57,46.34,44.31,44.16,47.81,46.69,47.31,47.63,48.86,46.63,49.36
