Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Singapore,MtCO2e,39.91,37.17,45.06,42.28,43.91,43.54,50.71,58.52,62.18,69.87,70.19,75.20,74.84,75.36,86.23,93.02,103.08,113.55,124.47,128.61,144.46,152.94,153.48,154.39,153.70,162.75,174.85,182.59,181.27
United States,MtCO2e,130.82,137.09,143.99,132.47,130.17,137.89,134.62,126.73,126.49,140.50,147.53,114.28,138.83,123.08,141.23,151.51,158.32,168.09,154.10,141.15,148.81,145.64,119.40,118.34,118.97,124.49,136.85,148.23,144.85
United Arab Emirates,MtCO2e,29.09,39.97,39.84,40.66,43.80,43.70,43.06,43.75,43.55,41.74,39.66,37.42,35.33,39.87,45.08,46.64,51.12,56.00,58.70,50.93,54.10,57.35,59.51,60.35,64.62,74.20,78.68,76.15,74.87
China,MtCO2e,5.64,7.26,11.27,9.81,10.83,11.17,12.41,10.13,10.64,10.86,13.79,15.52,17.39,17.03,22.70,26.38,30.70,34.05,33.30,35.89,43.48,46.97,47.18,44.67,44.62,53.19,57.07,61.54,63.82
Russia,MtCO2e,32.56,23.06,21.43,18.20,15.16,14.13,13.25,13.13,12.33,12.75,13.40,13.78,14.30,14.53,14.27,15.43,16.30,16.45,17.52,17.54,23.51,28.77,25.41,34.44,64.08,57.42,48.16,52.97,53.80
Netherlands,MtCO2e,39.50,41.02,41.85,40.67,41.27,42.23,44.16,46.62,47.12,49.02,51.20,54.83,54.87,51.95,56.43,60.01,63.44,64.82,62.84,56.47,53.75,57.51,53.28,51.70,51.46,48.80,48.85,48.49,47.17
South Korea,MtCO2e,6.17,9.13,11.78,14.40,20.55,23.65,28.93,31.78,31.98,33.60,32.49,31.74,31.67,34.90,36.44,40.91,42.56,40.71,40.87,38.14,41.06,40.37,39.63,39.69,40.17,43.57,48.78,47.98,46.67
United Kingdom,MtCO2e,26.97,25.63,27.23,28.29,28.28,29.84,31.59,33.55,36.33,36.01,37.75,37.63,36.40,36.63,40.05,42.42,43.76,43.74,46.12,43.63,40.87,43.19,40.74,40.65,40.71,40.30,40.80,41.90,42.80
Japan,MtCO2e,31.35,33.08,33.50,35.47,37.23,34.94,31.50,36.03,37.97,36.61,36.92,33.68,36.90,37.79,39.27,41.63,39.06,37.43,34.90,30.85,31.34,31.75,32.48,32.57,31.61,33.26,34.86,34.90,36.25
Spain,MtCO2e,14.93,16.27,17.18,15.87,15.57,16.18,21.18,25.17,26.51,26.30,27.28,29.72,29.86,30.66,32.27,34.54,36.05,37.16,38.19,37.30,35.92,38.33,37.56,33.76,35.82,35.34,36.17,34.63,36.22
Belgium,MtCO2e,16.05,16.21,15.98,16.23,15.52,15.25,17.58,19.73,21.36,19.34,21.72,20.93,25.38,27.75,28.56,28.12,30.30,33.78,35.06,26.46,28.66,26.19,23.54,23.69,21.34,22.98,25.70,28.86,34.94
Germany,MtCO2e,21.26,19.33,19.13,21.31,22.16,22.22,22.50,23.57,23.85,25.04,26.31,25.58,26.06,27.25,29.18,30.32,31.79,34.27,34.34,32.90,32.74,31.70,32.66,32.37,31.39,31.70,34.81,35.89,34.90
France,MtCO2e,17.28,16.78,17.84,17.75,17.56,18.35,19.47,20.45,22.04,23.37,24.21,22.68,22.50,23.03,25.10,24.52,25.58,26.42,25.41,23.82,23.90,24.39,23.57,22.85,21.94,22.25,21.46,22.17,23.31
Saudi Arabia,MtCO2e,10.64,13.32,13.91,13.66,12.25,11.76,10.95,11.56,11.66,12.06,12.58,12.34,12.59,12.54,12.87,12.66,13.83,14.40,15.01,14.04,14.42,16.36,17.16,16.61,17.35,18.30,19.43,20.43,21.93
Italy,MtCO2e,13.07,13.30,13.00,13.11,13.03,13.62,12.46,12.97,14.24,12.48,13.77,13.38,13.89,15.41,15.67,16.21,17.14,17.98,18.00,16.55,19.08,17.78,17.25,16.02,15.38,15.60,16.99,17.65,20.23
Thailand,MtCO2e,7.36,7.34,8.94,9.20,10.41,10.64,10.38,11.11,9.77,10.64,10.84,11.47,12.04,12.80,14.72,15.50,16.12,15.67,15.08,14.21,14.46,14.13,13.28,14.13,14.58,15.62,16.65,17.05,18.86
India,MtCO2e,5.12,4.87,4.95,5.40,5.84,6.36,6.63,6.57,6.68,7.03,7.21,7.29,7.39,8.09,9.07,9.71,11.29,12.74,12.51,13.28,13.97,14.40,13.51,13.87,14.29,15.24,16.37,17.11,18.53
Brazil,MtCO2e,3.16,3.94,4.02,4.77,5.64,5.75,6.61,8.00,8.25,10.69,11.27,12.20,13.64,13.40,13.50,14.37,14.46,15.61,19.10,16.82,18.58,20.10,18.83,17.84,18.58,20.55,17.70,17.39,16.74
Panama,MtCO2e,5.14,5.61,6.07,6.38,6.64,6.74,7.04,7.67,8.21,8.41,8.70,8.95,8.99,8.98,8.95,7.94,8.98,7.91,11.18,9.41,10.60,11.75,11.97,11.96,11.81,13.61,14.63,16.61,16.45
Australia,MtCO2e,6.50,6.47,6.84,7.42,7.81,8.62,9.13,9.13,9.50,9.84,10.22,10.63,8.78,8.79,9.99,10.93,11.53,11.89,12.19,11.21,12.38,11.89,12.86,12.89,14.05,13.41,14.02,15.21,16.10
Mexico,MtCO2e,5.29,5.50,6.09,7.17,9.57,9.40,9.27,9.72,11.10,11.92,12.01,11.82,10.58,10.79,11.09,11.33,11.78,12.66,12.73,10.45,10.69,11.09,11.58,11.62,12.28,12.98,13.91,14.38,15.67
Turkey,MtCO2e,0.91,1.12,1.13,1.26,1.12,1.37,1.37,1.83,1.99,2.36,2.83,2.29,4.26,4.64,6.04,6.59,6.03,6.11,5.98,5.12,4.80,3.96,3.67,6.89,11.01,13.36,13.02,13.30,14.27
South Africa,MtCO2e,7.12,7.71,9.82,9.23,9.98,12.01,12.24,10.29,11.99,13.19,11.42,11.42,10.64,11.02,9.89,10.79,10.57,10.94,12.52,11.38,14.08,14.54,14.61,14.62,14.68,14.83,13.23,9.79,12.40
Greece,MtCO2e,10.48,9.51,10.70,12.26,13.27,13.89,12.42,12.37,13.61,12.70,13.89,13.40,12.27,12.58,12.75,11.48,12.67,13.16,12.83,10.92,10.77,11.09,9.22,8.85,8.33,8.20,8.16,9.82,10.29
Qatar,MtCO2e,0.35,0.27,0.32,0.31,0.42,0.43,0.56,0.63,0.57,0.54,0.57,1.03,2.24,1.90,1.08,1.45,1.87,2.37,2.73,3.26,3.61,4.59,6.13,6.34,4.00,3.85,5.48,8.76,9.12
Malaysia,MtCO2e,1.80,2.01,2.07,2.30,3.14,3.31,3.80,3.99,5.32,4.74,4.47,4.71,4.56,4.67,5.20,5.01,5.43,5.38,5.26,5.22,5.89,6.76,6.44,8.65,8.60,8.83,8.10,9.24,9.10
Oman,MtCO2e,1.01,0.88,0.59,1.38,0.60,0.55,0.57,0.64,0.70,0.75,0.85,0.96,1.25,1.26,0.73,0.81,1.06,0.99,4.99,3.77,4.75,3.00,3.76,3.98,5.01,5.36,5.81,3.97,8.64
