Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,2873.71,3023.38,3154.54,3377.79,3528.81,3918.30,3954.75,3963.61,4103.23,4053.37,4249.70,4459.91,4769.03,5386.89,6135.95,6862.81,7547.54,8165.43,8455.65,9046.19,9872.37,10364.83,10690.04,11144.76,11155.76,11149.68,11207.66,11408.26,11705.81
United States,MtCO2e,5543.47,5501.92,5583.80,5691.26,5782.20,5843.90,6010.62,6258.47,6293.80,6291.25,6446.20,6406.04,6246.95,6306.12,6387.22,6401.12,6306.81,6397.67,6220.21,5793.66,6041.59,5796.78,5550.87,5690.79,5711.15,5586.69,5676.92,5613.64,5794.35
India,MtCO2e,1009.44,1064.49,1096.71,1128.44,1174.78,1240.44,1289.63,1348.09,1382.26,1460.24,1498.20,1747.49,1769.79,1817.42,1905.13,1977.76,2073.67,2219.62,2317.48,2467.78,2576.93,2610.32,2758.53,2816.49,2988.34,3002.17,3073.24,3202.82,3346.63
Russia,MtCO2e,2885.12,2788.70,2551.94,2294.62,2011.47,1930.88,1889.18,1755.59,1740.23,1772.68,1831.09,1455.44,1477.17,1556.63,1601.63,1608.10,1682.12,1690.16,1727.25,1575.54,1690.93,1864.86,1886.41,1844.48,1841.26,1791.21,1918.26,1939.26,1992.08
Indonesia,MtCO2e,1257.10,1274.43,1295.01,1311.27,1327.87,1360.88,1179.00,2142.82,1373.56,1261.56,1191.82,1019.35,1500.98,1167.69,1517.02,1242.70,1655.23,1100.24,1087.94,1483.61,1125.25,1675.72,1695.27,1636.17,2016.28,2070.24,1453.23,1466.05,1703.86
Brazil,MtCO2e,1642.29,1669.56,1679.50,1689.70,1706.03,1726.08,1735.71,1766.32,1800.62,1810.51,1807.03,1901.78,1935.36,1948.37,1995.86,2004.36,1994.55,2029.48,2030.84,2008.85,2104.61,1270.59,1311.58,1335.02,1372.79,1354.28,1443.98,1461.43,1420.58
Japan,MtCO2e,1109.37,1123.86,1137.15,1129.63,1186.79,1201.85,1215.95,1203.81,1156.66,1182.31,1198.54,1153.99,1185.65,1193.40,1185.28,1186.26,1164.29,1200.21,1133.32,1073.57,1130.13,1235.29,1277.48,1289.00,1251.32,1215.33,1225.67,1203.32,1154.72
Iran,MtCO2e,240.54,280.88,301.84,300.14,332.67,349.89,364.14,381.58,389.67,427.53,446.36,439.25,463.93,493.23,530.16,569.00,617.12,655.51,669.06,693.31,699.33,750.70,761.05,781.95,794.19,786.50,796.03,814.79,828.34
Germany,MtCO2e,1109.28,1079.69,1032.01,1024.31,1011.41,1004.79,1032.92,994.92,968.60,934.16,924.72,973.21,954.76,953.66,933.79,909.39,915.88,886.80,889.47,832.31,862.97,823.34,837.46,854.70,814.43,818.22,820.70,803.18,776.61
Canada,MtCO2e,626.36,622.29,638.22,636.25,656.82,672.53,696.88,709.57,726.10,723.75,739.69,962.37,981.04,1000.48,995.19,1006.64,992.64,1023.93,999.57,962.46,975.84,825.24,830.07,841.21,848.12,844.67,731.11,745.74,763.44
