Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,725.36,794.33,877.75,997.65,1082.83,1185.70,1330.33,1328.11,1409.58,1432.76,1575.21,1661.15,1840.48,2178.69,2376.12,2552.71,2898.66,3171.09,3208.47,3455.66,3831.98,4324.11,4450.73,4742.95,4636.87,4580.61,4637.77,4904.12,5214.20
United States,MtCO2e,2159.79,2179.91,2276.97,2335.52,2360.70,2423.43,2504.04,2738.66,2800.15,2769.65,2801.39,2812.78,2679.75,2707.69,2742.06,2791.21,2722.96,2789.49,2719.59,2489.11,2609.56,2488.66,2360.20,2378.54,2376.19,2234.01,2145.51,2064.52,2103.17
India,MtCO2e,231.92,258.97,278.57,306.80,319.86,364.89,388.13,402.10,418.14,459.65,491.24,505.36,513.58,536.41,584.73,599.57,638.85,701.16,721.88,789.51,819.68,860.23,989.12,1006.04,1123.44,1103.23,1097.81,1157.77,1241.34
Russia,MtCO2e,1231.39,1261.62,1218.61,1101.71,1014.70,957.89,982.04,910.52,907.32,917.49,930.29,929.27,933.94,956.82,943.17,947.84,994.76,965.64,961.59,891.48,956.01,1015.17,1007.74,969.39,907.38,879.86,840.13,835.58,844.67
Japan,MtCO2e,440.51,440.67,446.54,429.89,471.47,459.76,465.11,459.63,441.84,464.30,474.02,465.43,497.03,517.12,513.61,517.14,504.47,557.16,532.88,502.25,546.23,603.56,652.83,658.43,636.28,610.36,608.59,589.35,561.86
South Korea,MtCO2e,64.90,76.37,88.14,97.41,108.83,120.52,133.07,151.78,134.38,142.35,183.95,199.03,191.22,196.00,224.05,228.60,236.65,254.21,268.06,288.70,322.88,346.63,350.80,345.95,343.58,351.34,356.66,365.16,373.70
Germany,MtCO2e,411.76,409.30,392.66,384.36,384.92,379.36,389.99,374.14,374.12,359.05,364.01,377.21,378.73,384.21,379.48,375.80,379.51,392.57,371.06,343.10,361.68,354.26,365.16,369.74,350.25,346.25,345.94,327.74,310.35
South Africa,MtCO2e,145.83,145.37,147.68,157.52,161.41,169.47,177.43,187.34,194.40,184.42,191.93,227.32,230.55,245.67,261.18,251.02,252.36,265.58,293.42,256.42,302.50,287.27,294.59,292.58,304.00,284.91,290.93,284.43,281.88
Indonesia,MtCO2e,47.75,54.09,56.17,62.70,63.90,74.27,77.52,88.77,98.59,95.59,89.36,100.00,109.24,121.47,119.66,124.11,130.17,138.66,152.51,153.25,149.00,176.03,168.79,168.20,193.76,195.51,206.45,218.72,243.35
Saudi Arabia,MtCO2e,71.00,74.65,81.19,89.07,91.08,94.57,97.59,103.02,110.11,112.48,117.44,119.93,125.37,131.76,140.38,150.47,157.56,157.85,172.17,182.49,197.59,202.54,230.75,236.00,247.74,256.94,253.62,243.91,225.44
Australia,MtCO2e,142.80,145.25,147.68,149.11,151.84,158.06,165.89,170.11,190.32,194.12,196.87,204.24,218.73,209.84,219.47,224.53,229.35,236.45,236.30,246.37,239.95,233.27,230.76,222.64,212.81,219.58,225.68,226.19,221.25
Canada,MtCO2e,138.04,138.72,145.72,137.40,141.97,147.31,148.59,161.23,175.57,177.20,189.03,194.24,193.63,203.26,191.95,211.83,210.67,228.47,212.94,201.83,207.81,209.00,210.44,213.48,216.06,216.26,212.67,211.98,209.54
Iran,MtCO2e,41.87,44.90,45.88,54.32,57.80,61.60,64.84,68.74,70.54,89.41,91.06,96.95,102.65,107.33,118.72,130.47,137.45,145.08,157.52,162.09,163.88,171.00,177.79,187.36,191.06,192.38,190.74,201.58,201.29
Mexico,MtCO2e,94.26,106.60,107.57,114.18,130.45,121.92,127.32,141.49,158.79,152.75,168.40,172.56,174.64,186.33,184.60,191.58,190.58,193.74,186.40,193.63,195.38,204.58,212.32,201.55,192.04,193.61,196.74,194.71,193.16
Turkey,MtCO2e,39.44,41.49,44.70,45.09,50.56,51.83,57.63,63.18,67.64,71.90,74.96,76.58,71.54,72.30,73.72,81.15,90.19,106.65,114.18,112.21,112.76,123.12,126.91,121.00,138.61,133.83,146.53,158.51,159.04
Poland,MtCO2e,228.86,222.93,214.37,201.27,200.43,185.80,192.56,186.65,180.24,174.74,172.22,173.91,167.91,176.20,174.54,173.25,178.84,175.44,170.44,163.01,168.84,169.49,164.54,165.00,155.38,158.08,157.79,159.33,157.46
Malaysia,MtCO2e,18.98,26.47,26.11,29.82,31.44,34.72,38.28,42.03,44.88,48.66,52.70,54.86,57.70,61.10,68.02,75.40,79.63,86.31,97.27,91.91,106.50,110.50,108.86,113.80,119.18,123.54,118.49,109.34,125.36
Kazakhstan,MtCO2e,115.23,114.15,111.93,102.41,105.17,80.11,72.49,59.59,61.16,58.77,71.39,67.45,85.56,93.34,97.09,99.15,118.67,115.24,122.30,113.31,123.65,126.56,131.12,142.20,104.79,110.90,125.00,123.88,120.81
Italy,MtCO2e,143.46,139.02,138.27,134.91,137.50,150.06,145.43,147.66,151.55,147.45,152.91,149.24,158.91,164.50,178.32,177.76,179.72,179.47,173.55,147.37,153.13,152.01,144.03,122.62,113.74,120.89,118.19,121.19,113.38
Vietnam,MtCO2e,4.88,3.63,3.05,2.78,3.72,4.49,5.63,8.13,10.49,9.64,11.49,12.37,15.58,15.80,20.53,24.28,26.67,28.92,30.18,32.36,41.50,40.27,41.47,44.46,53.01,71.10,79.76,71.57,109.13
Egypt,MtCO2e,25.36,26.91,27.63,27.46,26.83,27.37,28.05,30.59,34.69,36.69,34.44,39.41,41.87,46.90,59.08,63.60,66.31,67.59,74.76,78.81,77.87,81.43,87.69,88.14,92.18,96.79,99.18,106.14,108.87
United Kingdom,MtCO2e,247.92,246.23,245.73,224.42,218.60,216.05,223.33,211.00,216.04,215.12,225.63,234.59,230.05,241.43,239.36,243.21,248.62,242.28,231.98,204.06,209.09,197.40,211.57,195.92,170.88,150.34,125.94,114.60,106.64
Thailand,MtCO2e,30.74,37.11,40.49,43.82,48.34,52.87,60.54,65.09,62.44,62.21,64.26,67.55,69.67,72.78,79.91,84.63,86.35,96.05,99.26,88.61,98.04,97.71,106.16,114.78,113.62,110.21,110.36,103.98,105.57
Iraq,MtCO2e,16.67,14.26,29.66,46.54,55.90,53.70,52.87,70.31,37.94,18.88,24.93,31.64,28.58,32.23,30.86,27.53,25.17,17.87,28.84,49.48,57.40,56.70,63.60,74.31,91.98,90.32,96.30,92.33,99.55
Ukraine,MtCO2e,357.23,319.53,272.98,260.17,220.44,204.16,165.02,153.23,147.21,144.97,140.19,135.56,135.35,154.44,128.58,138.65,138.33,139.55,136.96,120.93,130.11,137.88,140.35,135.38,116.03,94.59,105.14,86.27,90.95
Spain,MtCO2e,77.96,79.20,88.80,78.21,80.14,89.27,76.79,89.17,88.56,106.67,110.82,103.57,118.66,112.19,120.81,130.44,128.80,136.50,120.08,103.85,88.18,101.31,109.36,85.93,86.81,100.39,86.51,98.66,89.94
Brazil,MtCO2e,28.07,28.07,29.85,30.17,29.93,31.48,33.89,38.15,38.93,45.49,50.23,54.97,50.27,50.48,56.06,58.23,58.45,57.73,68.99,57.76,69.68,63.38,82.23,107.07,125.82,120.70,96.39,97.86,88.44
United Arab Emirates,MtCO2e,13.62,13.88,14.89,17.14,18.83,20.15,21.47,23.21,25.53,28.14,30.98,34.35,37.97,41.97,50.02,53.42,57.01,57.08,68.27,59.36,60.91,62.17,64.40,64.67,67.84,72.47,72.70,74.22,73.30
Philippines,MtCO2e,10.65,12.00,12.89,12.97,15.17,17.64,19.94,22.33,23.68,21.24,25.51,25.26,24.67,26.90,27.71,30.73,26.52,28.99,31.65,31.35,34.83,35.86,38.53,44.59,47.99,51.88,56.04,64.12,70.44
Argentina,MtCO2e,29.02,32.39,31.22,30.48,30.25,29.22,33.19,32.99,37.95,42.78,42.19,40.10,37.28,41.83,48.67,50.50,53.81,54.34,59.04,57.16,59.38,64.48,67.52,64.94,66.95,69.72,71.12,68.18,64.08
Netherlands,MtCO2e,52.80,54.63,55.21,57.22,60.41,65.73,66.80,68.17,70.59,65.44,66.96,70.05,70.97,72.20,73.78,71.23,66.15,70.61,69.63,68.11,71.06,67.73,64.88,64.86,68.13,72.78,71.25,67.77,63.63
France,MtCO2e,74.84,85.86,74.28,61.47,61.35,66.27,70.00,65.51,80.07,74.18,77.25,69.88,72.62,75.28,74.94,80.90,76.75,78.46,74.95,72.74,74.39,66.80,68.01,65.34,50.90,54.44,54.92,59.59,61.75
Kuwait,MtCO2e,20.50,4.59,11.81,15.92,20.90,20.43,20.79,22.05,25.80,30.45,31.81,36.06,38.01,37.06,40.84,44.64,47.02,48.49,51.35,51.90,53.49,55.33,57.41,57.88,58.16,60.41,61.40,59.64,60.38
Pakistan,MtCO2e,16.02,17.68,20.29,22.49,23.43,26.63,27.40,29.55,28.41,32.98,34.45,35.40,35.26,31.63,35.83,37.42,42.51,43.38,43.23,45.42,41.35,40.18,41.47,44.54,44.94,45.14,49.37,55.90,59.76
Czech Republic,MtCO2e,67.63,66.29,64.37,65.17,64.95,68.81,71.29,70.70,67.51,62.98,69.64,70.10,68.55,69.41,69.51,67.61,67.56,72.79,68.03,62.81,68.10,66.89,63.71,60.31,58.52,58.38,59.16,58.09,57.63
Venezuela,MtCO2e,36.47,32.94,36.66,37.35,37.85,39.17,43.11,49.58,50.23,51.55,56.72,58.50,59.89,59.32,59.73,59.48,60.26,61.34,66.61,66.01,64.20,58.58,63.00,63.99,65.69,69.83,65.94,62.98,57.29
Qatar,MtCO2e,7.74,8.93,9.34,9.96,10.53,11.04,11.61,12.79,13.79,16.02,13.83,14.78,16.02,17.93,18.88,20.78,24.79,27.17,28.08,30.22,36.28,44.43,47.27,47.99,49.40,51.10,51.83,52.95,53.65
Uzbekistan,MtCO2e,47.20,47.20,48.24,47.11,41.75,35.76,37.98,38.27,41.30,39.74,43.44,43.10,43.26,40.23,43.20,39.13,43.70,42.33,44.87,42.37,42.22,44.66,44.14,46.39,46.44,46.26,47.67,48.53,52.95
Algeria,MtCO2e,23.10,24.08,24.06,25.28,24.95,25.87,25.74,27.71,27.77,29.31,29.17,30.20,32.28,32.53,31.75,32.60,34.24,33.96,35.28,36.67,36.44,39.30,43.46,42.96,47.86,49.76,47.86,48.09,48.55
Bangladesh,MtCO2e,4.45,4.60,5.20,5.79,6.10,6.72,6.72,7.17,7.80,8.80,9.01,10.73,11.52,11.59,13.65,14.78,17.01,18.08,19.77,21.40,24.25,25.72,28.24,31.07,32.89,33.61,36.26,37.05,38.87
Israel,MtCO2e,19.77,20.11,22.87,24.38,26.06,27.34,28.91,31.13,32.28,33.16,36.02,37.31,40.29,41.05,40.97,40.43,42.73,44.31,43.45,41.06,44.05,46.06,51.01,42.91,40.09,40.83,39.83,39.24,35.65
Chile,MtCO2e,10.61,8.35,7.08,7.17,9.22,10.08,13.91,15.76,18.62,21.18,16.55,14.66,15.76,17.18,20.87,20.83,20.87,26.37,28.85,26.97,27.46,32.47,36.97,38.46,32.50,35.34,37.14,36.51,35.01
Greece,MtCO2e,37.09,36.33,38.86,38.89,40.41,42.14,39.00,39.01,40.44,41.81,47.73,48.18,48.05,49.13,49.90,50.62,48.84,52.14,51.22,48.30,45.24,45.23,45.84,41.51,38.12,34.57,33.06,34.72,33.86
Belarus,MtCO2e,62.23,58.75,54.69,46.27,42.29,36.71,36.38,37.95,35.98,35.11,34.32,34.34,33.95,34.02,36.71,36.06,36.75,34.84,35.81,34.50,37.28,33.42,33.14,32.76,32.88,31.20,30.79,30.92,33.16
Serbia,MtCO2e,40.41,35.87,34.21,31.48,28.79,36.41,35.44,38.41,38.05,28.47,32.07,31.61,33.13,34.68,35.76,33.83,35.64,32.41,32.16,32.63,31.26,34.41,31.37,32.95,26.40,32.95,32.99,33.57,31.92
Romania,MtCO2e,79.40,67.82,85.09,82.07,69.63,69.67,71.46,63.32,54.99,47.78,49.45,51.28,49.72,54.18,49.48,48.58,50.51,49.12,48.06,40.60,38.72,43.69,39.77,32.20,31.33,31.95,29.96,30.78,29.81
Nigeria,MtCO2e,8.25,9.68,11.45,11.67,10.51,10.86,11.60,12.09,11.39,12.52,13.72,14.06,14.98,13.19,15.49,16.91,16.74,17.05,17.26,15.34,19.02,22.01,23.64,22.77,24.44,23.69,23.87,25.22,26.91
Turkmenistan,MtCO2e,13.07,11.68,5.90,8.30,11.22,11.81,9.59,9.82,9.36,11.41,14.13,15.30,15.65,16.38,17.33,18.61,19.35,21.09,22.27,18.72,21.58,22.69,23.32,23.61,24.01,25.98,25.95,25.93,25.91
Singapore,MtCO2e,23.15,23.88,25.47,30.20,31.55,30.85,32.37,31.89,31.01,31.73,33.03,32.65,31.64,27.89,28.79,25.60,25.46,25.97,25.76,22.93,25.23,26.60,25.86,25.05,24.47,24.80,25.32,26.06,25.82
Oman,MtCO2e,5.74,5.88,6.05,6.50,7.10,8.48,8.85,9.42,9.92,10.78,13.29,14.43,14.99,15.41,16.47,15.28,16.39,16.64,17.26,18.72,19.21,20.37,21.40,21.77,22.84,23.93,23.82,25.10,25.30
Bulgaria,MtCO2e,45.29,39.46,37.52,37.91,34.86,35.42,35.70,30.00,29.17,26.82,26.50,29.45,26.70,29.59,28.78,28.68,28.97,32.22,31.87,28.87,30.78,35.31,30.68,26.67,28.38,29.38,26.13,27.54,24.18
Bahrain,MtCO2e,9.52,9.11,10.88,11.64,11.91,12.02,12.60,12.71,13.63,13.70,14.05,14.44,15.08,15.63,15.30,17.66,19.36,19.62,21.05,20.90,21.46,21.60,22.25,22.98,23.89,24.16,23.64,23.87,23.90
Libya,MtCO2e,16.26,15.80,15.19,15.64,18.12,18.75,19.36,19.14,20.19,18.10,20.00,20.50,22.39,23.88,23.91,24.37,24.39,22.74,23.26,23.85,24.27,18.34,24.04,25.93,24.40,25.09,20.43,21.84,22.66
Morocco,MtCO2e,7.92,7.84,8.42,9.26,10.21,11.69,9.96,10.63,10.63,11.01,11.24,13.23,14.06,14.52,15.93,16.86,17.00,16.73,16.92,15.85,17.76,19.98,20.55,19.09,21.59,22.28,21.61,22.52,22.47
Belgium,MtCO2e,31.68,32.18,31.36,31.25,33.47,33.14,32.88,31.33,32.98,29.91,31.26,29.26,29.47,30.58,29.95,30.08,29.59,29.27,28.02,25.92,29.83,25.86,25.45,23.31,22.32,23.21,21.99,22.11,22.46
Finland,MtCO2e,19.87,21.47,19.13,22.20,26.88,24.84,31.77,29.24,24.09,24.50,25.94,31.20,33.97,42.15,38.26,26.76,38.32,36.35,29.64,29.51,35.32,29.45,24.60,26.08,23.33,20.35,21.72,19.84,20.91
Portugal,MtCO2e,16.49,17.08,20.29,18.97,18.96,21.89,17.69,18.85,21.19,26.53,24.06,23.86,27.08,23.17,24.21,27.99,24.47,22.17,21.84,22.73,17.47,19.15,20.23,18.79,17.61,21.60,20.87,24.50,20.83
Colombia,MtCO2e,12.29,12.78,13.43,13.94,12.32,13.91,11.96,14.57,16.42,12.52,13.75,13.96,13.44,13.65,12.41,12.97,12.37,12.57,11.09,17.71,18.30,14.47,16.11,19.66,20.21,22.26,23.11,16.47,18.56
Austria,MtCO2e,19.97,20.81,17.57,17.71,19.23,20.78,21.34,21.84,20.96,20.09,19.71,21.55,22.05,24.03,24.82,25.65,24.64,23.67,23.59,19.91,24.14,24.38,21.87,21.20,19.38,19.39,18.23,19.99,17.70
Lebanon,MtCO2e,2.80,3.17,2.62,3.19,3.53,3.62,4.97,5.94,7.99,8.12,7.20,7.63,8.53,8.56,7.46,7.36,8.23,8.05,9.62,9.97,11.25,11.69,11.14,12.22,13.51,14.27,14.67,15.67,15.34
Bosnia and Herzegovina,MtCO2e,10.72,8.70,6.88,5.98,0.69,0.79,2.10,5.83,7.93,7.81,8.93,8.78,9.57,10.37,10.29,10.58,11.92,12.48,13.56,14.06,13.89,16.58,15.15,15.25,13.00,12.85,15.00,15.31,15.16
Norway,MtCO2e,7.32,6.97,10.30,11.39,12.05,10.65,9.95,12.22,13.22,14.30,9.94,10.65,10.72,11.61,11.77,11.73,12.12,12.47,12.23,13.55,16.06,14.92,14.10,13.73,14.24,15.09,14.71,14.98,15.02
Azerbaijan,MtCO2e,21.80,22.47,23.01,22.37,16.89,15.43,14.81,14.29,15.89,15.92,16.32,15.15,13.99,16.29,15.69,16.48,16.96,14.54,13.96,11.56,9.99,11.66,13.98,13.76,14.22,14.42,14.33,14.28,14.28
Laos,MtCO2e,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,3.71,10.87,13.92,14.04
