Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,MtCO2e,2342.66,2459.08,2558.36,2767.70,2870.87,3185.31,3170.95,3238.63,3347.51,3261.61,3454.31,3624.55,3894.30,4464.64,5152.35,5832.01,6429.29,6983.68,7222.57,7727.96,8470.40,9251.09,9541.85,9935.16,9886.46,9890.20,9849.23,10037.65,10318.51
United States,MtCO2e,5238.41,5203.59,5274.78,5379.69,5455.60,5501.62,5656.07,5914.90,5948.59,5957.91,6118.73,6088.07,5920.54,5982.76,6057.16,6069.18,5969.29,6044.83,5883.25,5484.76,5716.13,5483.27,5246.43,5391.95,5402.76,5277.14,5172.83,5100.78,5271.21
India,MtCO2e,608.93,653.39,677.40,699.92,735.21,787.19,821.42,864.55,882.18,943.51,980.51,996.17,1029.63,1058.67,1131.13,1181.44,1257.45,1377.91,1464.01,1599.57,1692.93,1782.53,1924.61,1979.19,2144.78,2153.56,2187.89,2307.82,2424.58
Russia,MtCO2e,2875.81,2788.04,2553.88,2323.69,2070.07,2007.59,1972.76,1865.01,1850.33,1894.92,1945.14,1970.58,1997.00,2073.79,2123.47,2133.54,2206.69,2213.68,2237.63,2105.29,2215.10,2303.47,2313.55,2269.24,2253.19,2211.45,2202.85,2227.22,2275.62
Japan,MtCO2e,1068.22,1079.46,1089.72,1081.87,1134.04,1144.52,1157.53,1148.01,1109.46,1144.59,1161.48,1149.52,1186.95,1195.98,1191.85,1193.74,1170.20,1207.53,1142.49,1086.84,1142.60,1197.65,1237.06,1244.52,1203.46,1165.84,1155.42,1135.35,1090.42
Iran,MtCO2e,209.81,248.86,265.96,264.96,296.33,308.47,316.53,328.39,330.05,364.38,379.08,394.29,417.28,444.59,479.05,516.43,560.45,596.57,611.41,632.19,633.30,641.15,647.94,668.29,685.83,678.68,686.47,704.87,716.76
Germany,MtCO2e,989.06,964.70,920.89,915.85,900.31,896.73,925.96,892.95,881.89,853.25,848.46,864.61,848.59,849.37,829.55,809.48,819.76,787.18,793.88,738.57,777.87,750.41,765.40,783.39,741.94,747.68,752.24,736.52,713.82
Canada,MtCO2e,465.37,461.18,477.49,476.69,494.84,507.67,525.23,542.06,551.54,559.45,578.74,568.98,584.85,603.28,593.69,603.89,594.25,624.02,602.39,570.77,583.91,597.22,598.47,609.97,618.06,612.89,600.41,612.78,626.07
South Korea,MtCO2e,242.26,265.13,283.80,309.76,333.49,362.88,387.26,408.04,349.02,383.90,438.01,452.13,442.40,444.48,466.86,464.90,472.09,485.20,497.48,510.08,560.02,583.66,586.89,586.10,573.92,593.24,600.49,611.40,617.23
Indonesia,MtCO2e,207.16,220.49,229.75,244.20,254.72,275.67,282.41,299.93,302.40,315.31,312.20,331.25,335.19,364.24,370.20,371.36,389.96,404.74,400.40,418.24,440.12,501.48,505.02,472.62,509.19,511.21,511.55,548.51,598.17
Saudi Arabia,MtCO2e,163.05,184.23,195.73,203.28,216.67,220.57,232.62,214.63,230.60,235.13,244.75,249.14,267.49,279.61,296.85,313.12,332.98,351.72,383.59,400.51,440.65,452.39,477.07,485.26,521.47,546.39,542.90,531.85,507.00
Mexico,MtCO2e,282.85,301.48,304.14,315.45,339.36,323.78,347.57,373.88,398.87,382.24,406.42,403.38,407.84,427.68,432.81,450.42,468.25,484.44,512.54,494.51,496.84,506.16,500.31,497.32,484.29,496.98,503.26,495.63,495.77
Brazil,MtCO2e,205.05,218.01,222.33,228.10,235.41,246.30,270.34,287.96,296.29,306.48,315.08,328.26,327.83,322.19,341.73,340.72,342.44,358.48,377.80,358.27,401.69,420.22,453.41,483.56,508.52,484.96,449.64,459.15,437.33
South Africa,MtCO2e,255.01,250.15,247.11,254.83,260.42,271.26,280.23,293.93,301.18,282.62,288.07,324.15,334.60,356.34,383.51,380.66,382.18,399.47,429.54,406.48,428.15,412.50,430.05,439.92,450.95,427.27,427.73,437.83,436.10
Australia,MtCO2e,295.07,297.17,303.10,305.82,309.57,321.24,332.66,342.70,363.46,365.21,373.01,378.65,385.37,384.14,398.27,403.44,409.86,421.61,424.96,431.12,423.66,421.61,421.71,415.01,404.03,413.44,422.98,426.40,426.09
Turkey,MtCO2e,138.37,141.23,146.09,152.23,149.68,163.55,180.32,188.59,188.77,189.28,212.85,193.29,202.84,213.61,218.03,227.28,252.25,280.56,278.61,277.78,284.18,303.90,314.12,299.92,323.22,329.85,352.95,392.76,388.32
United Kingdom,MtCO2e,591.83,607.24,589.86,575.34,562.04,552.01,570.55,545.78,545.86,540.66,546.75,560.24,545.02,555.23,554.94,551.40,551.56,538.24,523.71,475.39,491.89,453.68,477.01,461.45,422.67,407.61,384.87,372.46,364.85
Poland,MtCO2e,372.51,371.69,363.49,364.89,359.09,359.12,375.15,363.58,336.18,326.76,313.19,314.90,307.56,318.59,322.58,322.57,334.33,331.76,327.26,316.16,332.43,327.59,321.47,317.24,303.80,308.03,319.00,331.74,331.78
Italy,MtCO2e,405.33,404.57,402.04,398.86,394.20,416.80,413.65,416.85,427.55,433.21,435.46,434.68,441.06,459.80,468.73,470.91,463.24,456.12,443.95,398.15,406.60,397.24,380.57,351.24,332.04,342.30,337.87,333.58,329.13
France,MtCO2e,361.64,387.20,375.79,357.35,351.53,359.69,374.95,365.32,386.92,379.59,376.21,379.49,372.89,378.60,378.65,380.76,370.76,361.43,357.06,343.49,347.56,332.40,335.91,336.51,304.14,310.57,313.01,316.80,310.38
Thailand,MtCO2e,86.56,96.04,104.54,117.37,130.59,147.98,166.15,170.99,157.03,163.71,165.27,173.69,183.81,192.23,209.64,216.74,218.95,227.46,233.94,226.71,243.66,242.38,259.91,268.87,265.71,269.97,266.16,266.20,263.51
Spain,MtCO2e,208.16,215.85,227.74,213.71,222.48,233.76,223.62,241.61,248.11,269.81,284.70,285.47,303.00,308.61,325.38,339.97,331.14,344.08,315.94,281.99,267.84,270.52,266.19,240.65,237.31,252.31,242.78,259.14,254.03
Malaysia,MtCO2e,67.02,74.58,80.78,83.50,89.29,96.43,108.28,115.18,116.12,125.27,134.50,140.30,149.45,156.76,170.79,180.31,186.02,201.92,214.15,194.50,213.43,215.49,216.96,233.02,244.41,245.35,241.31,235.44,252.03
Vietnam,MtCO2e,22.69,22.79,23.81,29.07,31.78,35.46,39.57,45.52,50.13,50.69,55.26,60.82,70.24,74.30,88.57,95.40,99.65,108.88,121.25,133.14,149.32,148.43,148.04,153.60,167.70,206.15,216.41,213.42,248.02
Egypt,MtCO2e,90.47,92.20,95.13,95.41,90.24,95.22,99.90,106.90,111.88,116.48,114.58,126.28,128.17,132.62,143.40,159.98,167.49,179.47,187.15,191.14,193.59,199.06,204.92,205.19,211.52,219.89,227.48,232.95,239.74
Kazakhstan,MtCO2e,261.36,272.92,276.41,236.95,213.76,187.41,163.86,139.74,142.87,128.49,127.68,126.71,135.11,151.90,166.38,177.84,196.70,205.98,251.45,221.87,243.24,262.64,263.01,277.73,225.40,224.58,241.20,243.38,238.08
United Arab Emirates,MtCO2e,64.59,70.84,69.08,71.75,77.72,83.67,88.78,96.70,100.36,104.49,105.38,118.28,120.99,127.21,134.50,141.65,145.82,154.94,177.51,179.59,185.71,190.74,202.61,212.31,213.37,225.02,230.81,239.95,232.37
Ukraine,MtCO2e,809.06,767.58,676.56,597.02,507.35,485.04,432.09,412.54,392.24,392.25,376.49,377.35,378.59,409.58,377.16,359.47,364.61,371.43,357.05,304.50,321.18,339.18,328.33,314.88,279.35,227.99,237.57,210.80,220.88
Pakistan,MtCO2e,66.04,65.44,72.31,79.17,82.02,88.57,91.95,95.82,97.13,105.85,105.77,107.23,110.18,113.21,125.87,128.58,138.39,150.69,145.11,148.80,144.61,146.33,148.31,149.34,157.78,167.40,182.96,200.09,210.75
Nigeria,MtCO2e,113.41,120.41,130.53,127.94,123.57,124.74,131.61,129.19,123.43,122.74,125.36,137.25,141.11,146.39,149.12,161.54,155.48,153.27,153.04,136.13,153.02,165.15,163.72,173.60,180.62,173.69,174.02,178.98,197.18
Argentina,MtCO2e,109.69,115.92,117.85,121.90,125.04,126.03,139.52,140.11,145.84,146.80,144.99,138.18,131.48,141.78,154.80,158.69,167.10,175.07,179.57,168.96,179.19,187.64,189.03,193.79,189.63,195.73,193.83,189.58,186.78
Iraq,MtCO2e,62.28,46.21,67.99,89.28,100.15,96.40,98.89,116.59,82.30,64.45,74.21,83.97,78.81,73.31,76.32,89.09,84.64,77.91,85.87,107.22,119.67,130.00,151.10,161.29,167.43,160.48,170.68,172.67,186.56
Uzbekistan,MtCO2e,170.33,173.26,164.91,197.39,175.35,166.79,170.22,162.25,173.18,180.17,200.46,204.65,208.19,202.69,203.94,199.59,221.06,217.65,225.50,197.27,200.91,203.57,190.01,191.21,182.77,178.11,182.85,185.98,185.79
Algeria,MtCO2e,78.22,77.36,76.62,84.02,82.33,85.54,86.09,89.29,92.86,97.92,103.46,101.13,107.94,112.86,114.51,119.31,122.74,128.61,131.04,138.74,138.63,143.45,152.19,155.62,163.21,169.34,166.62,168.27,174.74
Venezuela,MtCO2e,133.14,133.69,137.72,144.77,146.71,154.77,169.70,175.92,173.67,169.69,177.74,178.97,186.37,176.95,181.11,193.95,183.60,187.33,197.62,197.69,205.00,203.92,217.93,221.90,223.11,208.91,196.01,181.54,169.80
Netherlands,MtCO2e,151.12,157.25,156.11,161.21,160.41,167.50,177.29,169.13,169.42,163.85,164.48,169.55,169.57,172.58,174.21,170.16,165.95,167.24,168.42,163.48,174.38,161.93,160.49,160.04,152.52,160.83,160.89,158.45,153.68
Philippines,MtCO2e,41.75,41.18,44.81,48.13,51.62,61.70,66.77,73.84,74.40,72.25,73.46,73.54,73.06,75.26,76.93,78.08,71.94,75.23,77.21,77.32,82.79,83.75,86.35,95.70,101.71,109.99,120.98,132.75,138.51
Turkmenistan,MtCO2e,72.79,63.71,51.34,47.65,51.82,53.64,51.03,52.43,54.23,60.55,62.77,65.61,69.04,75.14,79.11,79.20,79.06,84.10,83.32,75.40,80.95,90.44,96.92,102.01,107.37,113.54,113.17,112.87,112.41
Czech Republic,MtCO2e,164.28,149.59,143.64,140.51,133.64,134.08,135.48,133.31,126.89,119.21,129.58,129.09,124.66,128.79,129.09,126.08,126.81,129.14,123.82,116.77,119.74,116.57,112.70,107.54,104.34,105.42,106.86,107.41,106.48
Qatar,MtCO2e,13.60,15.64,15.78,16.68,17.54,18.40,19.27,20.89,22.21,24.41,23.19,25.14,29.41,30.90,34.10,43.64,47.75,54.00,58.14,60.41,66.08,69.52,77.25,78.99,84.91,88.19,90.27,92.77,95.38
Libya,MtCO2e,100.89,98.41,95.58,96.28,100.90,102.88,104.85,105.01,105.98,104.34,106.35,110.33,114.80,117.82,121.40,127.45,127.58,125.10,130.71,133.19,136.95,107.32,110.33,101.19,94.09,76.64,77.98,87.54,93.59
