Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,MtCO2e,1426.97,1399.67,1430.66,1454.18,1506.90,1537.76,1577.19,1602.13,1640.36,1686.18,1717.85,1720.04,1741.64,1766.76,1788.67,1807.72,1806.02,1806.37,1708.27,1622.55,1679.77,1633.59,1597.53,1646.94,1639.85,1700.05,1711.22,1724.02,1762.23
China,MtCO2e,94.15,100.62,111.10,125.70,116.35,127.37,169.85,146.13,140.28,157.36,248.48,254.25,276.44,313.14,371.14,397.31,434.81,468.58,507.07,517.08,568.78,621.89,686.13,741.09,770.56,827.14,843.41,880.90,917.02
India,MtCO2e,64.39,66.93,68.55,68.55,70.81,78.29,83.80,85.80,88.78,93.31,95.09,94.92,97.74,99.53,108.05,115.40,120.65,142.98,163.21,178.71,192.92,209.29,221.52,226.26,235.75,257.75,269.40,291.23,305.33
Russia,MtCO2e,298.76,293.10,280.70,235.62,207.06,190.94,181.47,166.57,196.40,198.06,189.17,195.64,198.61,207.55,222.18,220.89,229.17,230.71,245.30,228.32,244.13,249.69,237.32,238.70,241.39,240.61,240.20,246.06,258.86
Japan,MtCO2e,210.79,221.09,225.89,231.06,243.34,251.63,257.48,259.80,259.10,261.46,261.10,263.23,258.74,256.47,256.45,253.72,249.92,242.75,233.72,227.56,228.65,223.03,220.70,218.03,211.97,211.32,208.90,207.07,204.56
Canada,MtCO2e,124.67,120.95,125.20,127.18,133.42,137.09,140.44,144.85,147.47,151.16,149.97,147.79,159.65,162.28,166.39,170.62,169.41,175.76,174.01,169.48,174.68,175.06,176.78,181.81,180.43,180.01,180.83,185.25,192.11
Brazil,MtCO2e,82.17,85.97,86.61,90.08,94.21,104.19,113.67,120.61,126.89,124.24,125.47,128.01,129.96,127.44,136.36,137.08,140.13,145.82,151.20,148.60,167.85,185.02,202.41,209.63,215.07,199.86,198.88,200.02,191.66
Germany,MtCO2e,158.60,161.48,164.06,168.67,166.04,167.93,169.06,169.80,172.81,177.66,173.47,169.54,167.12,164.04,163.99,155.63,153.48,148.38,148.89,147.06,148.12,149.94,148.51,152.37,154.57,157.59,161.02,163.49,158.30
Mexico,MtCO2e,83.49,89.39,89.69,91.75,97.42,89.39,91.71,95.71,98.31,101.07,105.61,107.88,109.78,116.38,122.76,130.23,137.41,145.17,151.18,147.70,150.58,151.66,152.51,150.64,151.24,150.51,155.88,151.37,156.58
Indonesia,MtCO2e,32.20,35.85,37.91,40.49,45.35,49.26,54.60,60.65,59.20,58.78,62.70,66.76,68.00,69.28,70.84,69.84,66.30,67.81,72.07,81.68,89.11,108.50,129.63,136.12,136.59,122.57,133.64,141.68,154.01
Iran,MtCO2e,39.15,42.32,44.15,49.81,56.75,55.71,59.93,61.27,63.73,71.21,76.49,80.31,86.56,91.43,96.96,104.93,111.14,110.55,115.23,125.21,116.75,116.94,123.77,128.24,141.15,139.10,130.24,134.83,139.23
Saudi Arabia,MtCO2e,49.40,51.47,54.53,57.44,61.24,54.13,56.87,57.72,57.91,58.13,60.94,62.72,66.42,68.68,72.17,75.75,81.86,91.26,98.53,101.55,105.40,116.54,126.81,128.91,136.72,146.94,146.45,142.91,136.02
France,MtCO2e,113.47,116.85,119.36,120.48,121.38,122.32,122.12,124.64,129.12,129.52,132.48,134.22,134.14,132.82,133.06,130.80,131.12,130.29,124.32,122.93,123.27,128.63,127.46,126.27,126.42,127.59,127.70,128.14,125.42
United Kingdom,MtCO2e,114.97,114.36,115.83,117.00,117.38,116.33,120.86,121.95,121.19,124.73,122.95,121.90,123.17,124.57,125.98,127.20,128.85,129.55,122.74,118.32,116.85,115.40,114.91,114.17,115.64,118.82,121.63,122.09,120.66
South Korea,MtCO2e,43.74,49.04,54.52,61.50,64.57,72.47,76.37,78.06,65.17,71.80,77.78,80.98,86.38,88.30,88.95,86.06,85.96,88.64,84.17,85.07,86.61,85.13,87.58,90.88,92.46,98.40,101.31,103.47,101.66
Italy,MtCO2e,96.07,97.93,102.96,104.85,104.61,106.89,108.66,110.25,113.42,116.26,116.36,118.49,120.75,121.81,124.03,122.96,124.26,124.73,117.93,111.84,109.19,109.15,102.51,100.72,105.39,103.01,101.71,97.61,100.20
Australia,MtCO2e,62.03,60.59,62.08,63.19,64.83,67.54,70.02,71.39,71.39,72.77,75.01,74.42,76.13,76.41,79.18,79.33,81.25,83.58,85.30,84.68,87.63,89.77,90.42,91.83,91.98,94.15,95.59,97.68,99.64
Spain,MtCO2e,63.21,65.83,69.38,68.39,70.70,71.95,76.89,76.83,84.23,88.50,90.46,94.63,96.40,101.38,105.73,109.51,113.13,116.10,109.90,101.30,98.42,91.96,82.63,81.62,82.06,85.11,88.30,91.16,92.31
Turkey,MtCO2e,27.85,26.56,27.11,32.27,31.34,35.20,36.99,34.35,31.72,33.30,34.73,33.31,35.08,35.13,35.74,36.94,41.65,47.45,44.67,44.26,43.39,44.00,51.06,57.20,60.93,72.51,79.15,82.84,83.37
Thailand,MtCO2e,27.35,28.35,30.00,35.34,39.27,46.80,51.11,50.85,43.97,45.32,44.20,45.38,47.92,51.20,54.98,54.95,51.27,55.63,53.07,56.35,57.19,60.20,62.85,62.46,60.56,64.88,69.07,75.32,75.88
Nigeria,MtCO2e,11.76,15.34,18.71,16.07,12.90,14.91,17.13,21.91,18.02,19.63,21.88,26.60,27.56,29.09,29.59,28.65,24.10,20.96,25.21,23.51,29.74,31.69,35.07,44.73,49.12,44.65,51.25,51.30,67.47
Poland,MtCO2e,20.23,21.09,21.47,20.89,21.54,22.32,25.28,26.75,28.19,30.67,26.97,26.80,25.88,28.30,32.09,34.51,38.26,42.33,44.28,44.69,47.12,47.72,45.88,43.18,43.79,46.65,53.26,61.54,63.48
Malaysia,MtCO2e,14.56,15.67,16.75,17.43,19.25,20.48,23.39,26.93,25.15,30.41,32.20,34.96,35.80,38.12,40.96,40.70,39.00,41.53,43.62,42.75,44.10,44.63,44.40,58.17,65.17,61.21,62.89,60.57,60.83
